arrivalFloor arrivalTime partySize destinationFloor clientID
6 4624 1 2 180
0 4670 1 6 185
1 4680 1 6 170
3 4683 1 5 175
4 4696 1 6 176
0 4722 1 6 188
2 4730 1 1 177
0 4787 1 3 192
7 4830 1 0 184
0 4846 1 4 194
5 4850 1 7 186
6 4887 1 2 187
0 4922 1 6 196
0 4984 1 7 199
0 5044 1 6 200
3 5055 1 0 190
2 5066 1 0 193
4 5083 1 7 191
7 5089 1 2 195
5 5098 1 6 197
0 5101 1 5 201
6 5104 1 4 198
0 5154 1 2 207
1 5205 1 6 189
0 5218 1 3 209
0 5282 1 7 211
7 5331 1 0 205
0 5338 1 6 212
5 5345 1 7 206
6 5363 1 1 208
0 5395 1 6 214
3 5406 1 2 202
2 5408 1 0 203
0 5457 1 5 217
4 5468 1 7 204
0 5523 1 7 220
7 5577 1 2 213
5 5585 1 1 215
0 5599 1 4 222
6 5614 1 7 216
0 5653 1 4 225
0 5715 1 1 227
1 5724 1 6 210
2 5755 1 3 219
0 5786 1 5 228
3 5788 1 2 218
5 5825 1 2 224
7 5833 1 3 223
0 5836 1 7 231
4 5838 1 2 221
6 5842 1 1 226
0 5888 1 5 235
0 5951 1 6 238
0 6014 1 4 239
5 6053 1 2 233
7 6066 1 2 234
0 6078 1 7 240
6 6080 1 5 237
2 6090 1 1 230
0 6145 1 6 243
3 6157 1 2 232
4 6177 1 0 236
0 6203 1 6 246
0 6260 1 5 249
5 6275 1 0 241
1 6285 1 7 229
6 6296 1 5 244
7 6320 1 6 242
0 6320 1 7 250
0 6388 1 2 255
2 6412 1 5 245
0 6447 1 6 256
0 6506 1 5 258
5 6520 1 1 251
4 6521 1 5 248
3 6528 1 0 247
6 6538 1 0 253
7 6549 1 5 254
0 6560 1 6 259
0 6617 1 1 265
0 6663 1 2 266
0 6725 1 3 267
5 6753 1 6 260
2 6770 1 6 257
0 6780 1 2 268
6 6781 1 5 263
1 6803 1 4 252
7 6803 1 6 264
0 6840 1 6 271
4 6884 1 0 261
0 6901 1 2 275
3 6904 1 7 262
0 6971 1 5 277
5 6988 1 2 269
0 7026 1 5 279
6 7027 1 0 272
7 7049 1 3 274
0 7085 1 4 281
2 7127 1 5 270
0 7139 1 7 284
0 7189 1 7 286
5 7207 1 6 280
4 7212 1 3 276
6 7251 1 5 282
0 7255 1 4 287
3 7272 1 5 278
7 7282 1 2 283
0 7313 1 3 291
1 7328 1 2 273
0 7377 1 1 294
5 7416 1 3 288
0 7445 1 3 296
6 7488 1 4 290
2 7501 1 7 285
0 7503 1 3 298
7 7520 1 0 293
0 7555 1 3 301
4 7579 1 1 289
0 7614 1 7 303
3 7639 1 5 292
5 7660 1 6 297
0 7663 1 3 305
6 7712 1 1 299
0 7719 1 2 308
0 7773 1 6 310
7 7775 1 1 302
0 7826 1 1 311
2 7860 1 7 300
1 7873 1 7 295
0 7875 1 1 313
5 7908 1 1 307
0 7926 1 4 316
6 7936 1 5 309
4 7946 1 0 304
3 7949 1 0 306
0 7981 1 7 318
7 8004 1 5 312
0 8056 1 3 322
0 8122 1 6 324
5 8149 1 7 317
0 8175 1 3 325
6 8185 1 4 319
2 8224 1 0 314
0 8236 1 1 327
7 8248 1 0 323
0 8299 1 5 330
3 8299 1 1 321
4 8315 1 5 320
0 8363 1 6 332
5 8393 1 6 326
1 8415 1 6 315
0 8421 1 2 335
