arrivalFloor arrivalTime partySize destinationFloor clientID
33 1504 1 26 757
112 1504 1 54 824
145 1505 1 38 730
36 1505 1 120 752
16 1506 1 55 848
120 1507 1 154 833
152 1507 1 97 836
5 1508 1 103 758
60 1511 1 91 835
44 1511 1 119 838
132 1512 1 96 842
20 1513 1 24 855
21 1516 1 100 756
141 1519 1 150 742
40 1520 1 119 829
125 1527 1 59 725
9 1528 1 16 751
153 1529 1 50 736
84 1531 1 16 856
4 1531 1 0 864
89 1531 1 74 774
24 1533 1 79 853
48 1536 1 54 862
45 1540 1 137 768
149 1541 1 147 760
97 1541 1 150 773
8 1542 1 91 868
80 1559 1 107 863
96 1561 1 151 878
68 1563 1 129 879
29 1565 1 43 783
124 1565 1 24 872
104 1568 1 53 874
25 1576 1 13 779
148 1582 1 117 884
92 1586 1 137 894
56 1590 1 128 895
72 1592 1 86 898
108 1598 1 66 899
28 1608 1 97 891
100 1612 1 39 909
128 1612 1 106 892
88 1614 1 65 888
144 1617 1 67 896
140 1637 1 125 921
52 1639 1 50 922
112 1640 1 86 926
120 1643 1 22 930
0 1643 1 135 908
64 1644 1 61 915
32 1654 1 148 912
44 1654 1 12 934
132 1657 1 32 935
136 1658 1 73 923
24 1662 1 60 946
152 1662 1 115 931
12 1664 1 118 924
84 1664 1 90 943
40 1665 1 27 939
4 1666 1 161 944
16 1667 1 95 929
60 1668 1 143 933
20 1673 1 40 936
48 1675 1 100 947
103 1677 1 62 778
49 1689 1 84 882
80 1695 1 124 952
96 1696 1 8 953
124 1702 1 15 956
8 1702 1 30 951
35 1705 1 59 788
104 1709 1 88 957
68 1712 1 80 954
86 1715 1 124 791
118 1716 1 51 802
79 1724 1 5 785
81 1724 1 60 889
90 1728 1 91 798
17 1730 1 19 883
101 1730 1 19 875
34 1730 1 96 793
138 1731 1 66 789
15 1731 1 52 703
72 1731 1 49 962
148 1734 1 15 959
123 1737 1 129 687
156 1738 1 54 897
92 1740 1 12 960
65 1740 1 143 907
58 1741 1 127 795
41 1742 1 33 886
154 1742 1 49 812
93 1744 1 71 890
162 1745 1 18 806
22 1745 1 156 807
133 1746 1 83 893
108 1746 1 88 963
28 1750 1 77 964
61 1751 1 122 900
1 1752 1 47 906
100 1754 1 45 965
117 1754 1 111 794
39 1757 1 137 803
128 1758 1 89 966
63 1758 1 27 808
73 1759 1 36 901
88 1760 1 14 967
109 1763 1 3 902
59 1763 1 52 767
47 1764 1 81 691
56 1764 1 107 961
54 1764 1 55 792
50 1765 1 102 830
144 1770 1 154 968
3 1770 1 4 723
46 1770 1 152 831
33 1770 1 38 925
135 1771 1 36 750
99 1772 1 56 714
83 1775 1 93 711
140 1775 1 157 969
19 1777 1 121 739
116 1779 1 151 904
119 1780 1 80 823
57 1781 1 49 903
64 1781 1 28 974
95 1781 1 72 731
136 1782 1 114 978
127 1782 1 74 697
134 1783 1 21 814
69 1783 1 118 910
105 1784 1 9 914
112 1784 1 69 971
18 1785 1 142 834
43 1785 1 39 744
76 1786 1 33 905
132 1788 1 61 977
87 1788 1 58 755
98 1789 1 101 819
52 1790 1 147 970
53 1791 1 150 916
60 1791 1 104 986
129 1791 1 99 919
161 1792 1 51 809
44 1792 1 60 976
66 1793 1 140 817
2 1793 1 64 828
13 1794 1 70 917
85 1794 1 22 918
