arrivalFloor arrivalTime partySize destinationFloor clientID
10 5598 1 0 407
9 5630 1 0 409
0 5639 1 2 411
6 5643 1 0 396
8 5681 1 7 410
10 5686 1 1 412
0 5698 1 10 414
9 5719 1 10 413
1 5720 1 3 383
2 5738 1 9 398
7 5745 1 1 405
0 5751 1 7 418
4 5752 1 5 394
5 5754 1 2 408
8 5771 1 0 416
10 5780 1 6 417
9 5810 1 2 419
0 5811 1 9 423
3 5839 1 5 403
10 5847 1 3 427
0 5873 1 7 429
8 5879 1 3 426
6 5880 1 0 415
9 5906 1 10 428
10 5925 1 0 431
0 5949 1 2 432
8 5973 1 1 433
9 5985 1 8 435
7 5991 1 8 422
0 6001 1 3 437
10 6013 1 9 436
5 6022 1 8 425
0 6050 1 1 441
8 6057 1 4 438
9 6078 1 0 439
10 6099 1 0 442
0 6111 1 2 444
6 6116 1 3 434
2 6125 1 10 421
4 6138 1 10 424
8 6140 1 3 445
3 6166 1 7 430
0 6174 1 9 448
9 6176 1 8 446
10 6200 1 9 447
8 6216 1 10 452
7 6228 1 8 440
0 6235 1 6 454
1 6240 1 5 420
9 6259 1 3 455
5 6284 1 4 443
10 6286 1 2 456
0 6296 1 8 459
8 6323 1 6 457
6 6346 1 4 449
0 6355 1 1 464
9 6359 1 2 461
10 6382 1 0 463
8 6417 1 5 465
0 6417 1 1 467
7 6439 1 3 458
9 6455 1 4 468
10 6474 1 4 469
0 6491 1 4 471
2 6501 1 9 450
8 6502 1 0 470
4 6503 1 10 451
3 6506 1 5 453
9 6545 1 7 473
0 6557 1 5 475
10 6562 1 8 474
5 6572 1 2 462
6 6587 1 4 466
8 6590 1 7 477
0 6615 1 5 481
9 6636 1 8 480
10 6637 1 4 482
0 6665 1 1 486
7 6673 1 9 472
8 6681 1 2 485
10 6724 1 3 488
9 6724 1 4 487
0 6726 1 2 489
8 6774 1 6 491
1 6776 1 9 460
0 6786 1 8 494
10 6808 1 5 492
5 6815 1 8 483
9 6818 1 0 493
6 6834 1 3 484
0 6835 1 6 497
4 6844 1 2 478
2 6854 1 5 476
3 6870 1 8 479
8 6873 1 9 495
10 6883 1 1 498
0 6891 1 4 502
7 6905 1 9 490
9 6914 1 4 500
0 6962 1 6 508
8 6973 1 0 506
10 6985 1 3 507
9 7003 1 8 510
5 7033 1 1 499
0 7034 1 8 511
8 7077 1 4 512
10 7083 1 2 513
9 7088 1 2 514
6 7092 1 2 501
0 7112 1 8 516
7 7153 1 1 509
8 7159 1 5 517
0 7173 1 3 521
9 7183 1 6 519
10 7186 1 4 518
4 7200 1 10 503
2 7221 1 6 504
0 7227 1 2 524
8 7237 1 0 523
3 7259 1 0 505
5 7261 1 7 515
9 7276 1 1 525
10 7283 1 4 526
0 7294 1 7 529
1 7299 1 8 496
6 7329 1 9 520
0 7351 1 1 535
8 7352 1 2 530
9 7362 1 6 533
10 7368 1 5 534
7 7403 1 8 522
0 7419 1 1 538
8 7466 1 2 539
10 7466 1 3 541
9 7471 1 3 540
0 7479 1 8 543
5 7499 1 6 532
0 7527 1 6 547
8 7560 1 1 544
4 7561 1 10 527
9 7564 1 7 546
10 7567 1 5 545
6 7574 1 8 537
2 7588 1 4 528
0 7594 1 7 549
7 7632 1 3 542
3 7642 1 5 531
8 7643 1 0 550
0 7648 1 8 556
10 7651 1 6 553
9 7666 1 5 552
0 7709 1 5 560
9 7745 1 1 562
8 7745 1 6 559
10 7745 1 1 561
5 7764 1 7 548
6 7774 1 3 554
0 7775 1 1 563
8 7823 1 7 565
9 7823 1 4 564
1 7827 1 3 536
0 7834 1 7 569
10 7844 1 9 566
7 7858 1 0 557
0 7891 1 2 573
8 7909 1 1 570
9 7913 1 2 571
4 7926 1 5 551
10 7935 1 6 574
2 7954 1 5 555
0 7962 1 3 576
9 8006 1 4 578
8 8008 1 4 577
5 8009 1 9 567
6 8011 1 7 568
3 8017 1 5 558
0 8020 1 6 582
10 8039 1 4 580
7 8074 1 8 575
9 8090 1 7 583
0 8093 1 2 588
8 8115 1 2 584
10 8129 1 5 589
0 8153 1 7 592
9 8188 1 6 591
8 8208 1 1 593
0 8211 1 2 595
10 8222 1 0 594
5 8241 1 1 585
6 8247 1 3 586
0 8273 1 1 598
9 8275 1 2 596
8 8289 1 9 597
7 8298 1 10 590
4 8300 1 3 579
10 8309 1 1 599
2 8323 1 1 581
0 8335 1 7 602
1 8343 1 3 572
9 8363 1 1 603
3 8369 1 8 587
0 8376 1 9 609
8 8381 1 9 604
10 8406 1 2 607
0 8432 1 4 613
9 8442 1 5 611
5 8467 1 6 600
8 8479 1 4 614
6 8479 1 3 601
10 8488 1 4 615
0 8498 1 4 616
9 8533 1 3 617
0 8553 1 5 622
10 8556 1 2 621
7 8559 1 2 605
8 8562 1 4 619
0 8605 1 4 624
9 8628 1 2 623
8 8644 1 1 627
10 8654 1 9 625
0 8661 1 1 628
4 8668 1 7 606
5 8697 1 9 618
0 8722 1 10 632
9 8727 1 0 629
2 8727 1 7 608
8 8728 1 7 630
3 8736 1 0 612
6 8738 1 1 620
10 8748 1 9 631
0 8787 1 7 635
7 8802 1 10 626
9 8803 1 1 636
8 8806 1 5 638
1 8823 1 7 610
10 8829 1 8 641
0 8832 1 2 642
0 8890 1 10 648
8 8897 1 10 645
9 8899 1 4 644
10 8914 1 3 647
5 8940 1 6 634
0 8956 1 7 649
6 8983 1 7 640
8 8985 1 10 650
9 8997 1 4 651
10 9008 1 6 652
4 9011 1 5 633
0 9012 1 6 654
7 9027 1 1 643
0 9064 1 7 660
8 9065 1 0 656
10 9098 1 5 658
9 9106 1 2 657
2 9111 1 0 637
0 9117 1 1 662
3 9121 1 5 639
8 9159 1 10 663
5 9166 1 0 653
0 9173 1 3 667
10 9182 1 6 664
6 9220 1 3 655
9 9220 1 7 665
0 9236 1 5 671
8 9237 1 0 669
10 9265 1 7 672
7 9268 1 4 661
0 9289 1 9 675
8 9326 1 1 676
9 9326 1 3 674
1 9337 1 5 646
10 9346 1 0 677
4 9350 1 0 659
0 9352 1 3 679
9 9415 1 4 681
8 9415 1 3 680
0 9415 1 6 685
5 9419 1 0 670
10 9441 1 3 683
6 9447 1 5 673
3 9450 1 7 668
0 9475 1 2 688
2 9482 1 7 666
9 9490 1 2 686
7 9503 1 2 678
8 9522 1 9 687
0 9540 1 1 693
10 9542 1 2 690
0 9591 1 4 698
9 9596 1 2 695
8 9608 1 10 697
10 9638 1 1 699
5 9640 1 0 689
0 9659 1 7 700
8 9675 1 5 702
4 9695 1 8 684
9 9701 1 2 701
6 9719 1 5 691
7 9722 1 4 696
0 9724 1 5 705
10 9734 1 2 703
8 9774 1 9 706
0 9776 1 3 711
9 9786 1 1 708
3 9794 1 0 692
2 9814 1 0 694
10 9829 1 4 712
0 9843 1 2 714
8 9864 1 0 713
1 9864 1 7 682
9 9869 1 6 715
5 9874 1 1 704
0 9903 1 5 719
